Time,Type,Entry Price,Exit Price,Profit (Â£),Size,Signal Strength,RSI,MA,ATR,Exit Reason
2025-05-12T09:25:00.000000000Z,SELL,1.11397,1.11329,151.94,231481.48,0.50,76.65,1.11663,0.00036,stop_loss
2025-05-12T20:50:00.000000000Z,BUY,1.10880,1.10895,47.78,347222.22,0.60,43.70,1.10846,0.00024,stop_loss
2025-05-12T20:55:00.000000000Z,BUY,1.10876,1.10888,28.33,277777.78,0.60,50.00,1.10845,0.00030,stop_loss
2025-05-12T21:20:00.000000000Z,BUY,1.10887,1.10905,47.30,287356.32,0.60,31.45,1.10851,0.00029,stop_loss
2025-05-12T21:25:00.000000000Z,BUY,1.10884,1.10888,20.00,694444.44,0.60,35.71,1.10852,0.00012,stop_loss
2025-05-13T02:25:00.000000000Z,BUY,1.11010,1.11012,2.14,297619.05,0.80,35.32,1.10996,0.00028,stop_loss
2025-05-13T05:40:00.000000000Z,BUY,1.11116,1.11120,3.11,225225.23,0.60,46.31,1.11091,0.00037,stop_loss
2025-05-13T05:45:00.000000000Z,BUY,1.11095,1.11095,-6.04,260416.67,0.80,45.92,1.11092,0.00032,stop_loss
2025-05-13T11:20:00.000000000Z,SELL,1.11090,1.11112,-63.33,260416.67,0.60,59.31,1.11092,0.00032,stop_loss
2025-05-13T20:55:00.000000000Z,BUY,1.11848,1.11842,-19.29,238095.24,0.80,35.80,1.11828,0.00035,stop_loss
2025-05-13T21:15:00.000000000Z,BUY,1.11858,1.11846,-38.33,277777.78,0.60,41.97,1.11836,0.00030,stop_loss
2025-05-13T21:25:00.000000000Z,BUY,1.11862,1.11895,132.50,416666.67,0.50,43.14,1.11841,0.00020,stop_loss
2025-05-13T21:30:00.000000000Z,BUY,1.11852,1.11850,-21.67,694444.44,0.60,35.05,1.11844,0.00012,stop_loss
2025-05-13T21:35:00.000000000Z,BUY,1.11849,1.11858,145.00,1666666.67,0.60,25.86,1.11847,0.00005,stop_loss
2025-05-14T10:40:00.000000000Z,BUY,1.12332,1.12296,-105.00,277777.78,0.60,31.78,1.12273,0.00030,stop_loss
2025-05-14T21:10:00.000000000Z,SELL,1.11758,1.11778,-60.56,277777.78,0.60,72.28,1.11771,0.00030,stop_loss
2025-05-15T00:05:00.000000000Z,BUY,1.11796,1.11814,45.00,277777.78,0.80,40.80,1.11784,0.00030,stop_loss
2025-05-15T00:10:00.000000000Z,BUY,1.11794,1.11809,32.25,245098.04,0.80,34.37,1.11787,0.00034,stop_loss
2025-05-15T02:25:00.000000000Z,BUY,1.11908,1.11914,13.59,320512.82,0.80,41.87,1.11886,0.00026,stop_loss
2025-05-15T02:30:00.000000000Z,BUY,1.11908,1.11916,23.47,347222.22,0.60,35.88,1.11888,0.00024,stop_loss
2025-05-15T02:45:00.000000000Z,BUY,1.11902,1.11908,13.59,320512.82,0.60,31.03,1.11893,0.00026,stop_loss
2025-05-16T03:05:00.000000000Z,BUY,1.12017,1.11998,-60.36,297619.05,0.60,47.34,1.12003,0.00028,stop_loss
2025-05-16T03:10:00.000000000Z,BUY,1.12008,1.11998,-33.57,297619.05,0.60,38.11,1.12005,0.00028,stop_loss
2025-05-16T03:15:00.000000000Z,BUY,1.12010,1.12015,8.64,252525.25,0.60,45.12,1.12007,0.00033,stop_loss
2025-05-16T03:20:00.000000000Z,BUY,1.12014,1.12016,2.84,490196.08,0.50,31.82,1.12008,0.00017,stop_loss
2025-05-16T07:20:00.000000000Z,BUY,1.12094,1.12113,50.17,287356.32,0.80,38.55,1.12079,0.00029,stop_loss
2025-05-16T18:15:00.000000000Z,SELL,1.11457,1.11487,-105.00,333333.33,0.60,49.40,1.11491,0.00025,stop_loss
2025-05-16T18:20:00.000000000Z,SELL,1.11476,1.11476,-5.00,333333.33,0.80,55.64,1.11483,0.00025,stop_loss
2025-05-16T18:25:00.000000000Z,SELL,1.11472,1.11468,17.22,555555.56,0.80,58.13,1.11476,0.00015,stop_loss
2025-05-16T20:20:00.000000000Z,BUY,1.11494,1.11487,-34.82,438596.49,0.60,40.66,1.11471,0.00019,stop_loss
2025-05-16T20:25:00.000000000Z,BUY,1.11482,1.11486,11.67,416666.67,0.60,33.33,1.11474,0.00020,stop_loss
